id;total_items;total_price;created_by;created_date;last_modified_by;last_modified_date;user_id
0c4a01c9-4928-4b7b-ae2d-c1a939b89abd;67056;58699;Refined North Pizza;2023-04-07T14:26:03;withdrawal Market Florida;2023-04-07T21:17:22;58482
ab147bd7-d99a-4000-bbe9-1a1984c044aa;7998;28737;Intranet;2023-04-08T05:37:33;Computers Decentralized;2023-04-07T14:41:20;50909
cd757e5b-7063-400f-88c0-d706c3468695;15174;24221;Pants;2023-04-08T09:53:40;Station Junctions ROI;2023-04-08T08:16:40;3627
d906b1ab-efa9-411b-870a-32a80f493256;75922;52469;repurpose turquoise;2023-04-07T23:41:53;Reduced;2023-04-08T04:53:22;33595
33338c1a-7d11-4515-b43e-11ddabe516b8;71076;55357;Brook SSL;2023-04-07T13:20:24;navigating;2023-04-08T00:55:27;10181
77301f85-ff89-4291-958f-0643d32e47e7;66232;95212;Jewelery infrastructures;2023-04-07T19:31:27;Spur tan implementation;2023-04-08T10:54:52;30266
ab3f4875-5fc4-4fc4-b8f6-2799c1c28e7f;11540;94977;Buckinghamshire Wooden Islands;2023-04-07T13:05:19;haptic driver;2023-04-07T21:03:20;19577
54f5151a-1f87-4f01-9121-8d44155bce4b;67520;86711;Granite enable;2023-04-07T19:04:45;Dominican;2023-04-07T21:57:42;11351
ec0d22de-31d1-4589-81b0-a20b73db4027;30981;71042;Planner sky PCI;2023-04-07T20:06:41;Lithuania holistic;2023-04-07T19:24:03;18399
6f822900-872b-438f-8cdc-447a218ea529;12348;41682;Coordinator Fish;2023-04-07T19:40:20;Bacon;2023-04-08T07:42:48;63929
