id;qty;total_price;created_by;created_date;last_modified_by;last_modified_date
fabffcdd-ad40-4f98-a132-bd1bac63acd4;51959;63647;Interactions programming Identity;2023-04-07T15:12:43;Michigan Innovative Web;2023-04-07T16:57:18
7091e810-3971-4016-b95c-44cefeb04216;36516;8027;National;2023-04-07T21:28:50;Identity invoice Kentucky;2023-04-07T19:34:09
2ada9efe-ec08-4fdb-b947-59118b19fe1f;85655;15068;Shirt PNG model;2023-04-07T18:22:56;navigating;2023-04-08T10:15:11
b2f0535e-7c20-4b4c-ad5e-4887f612e38d;89547;49913;payment;2023-04-08T00:49:42;Steel;2023-04-08T06:07:18
18f48191-b6ad-4d2e-b281-aed8f16a046a;32921;86696;Qatar French Handcrafted;2023-04-08T06:32:18;Buckinghamshire Planner Profit-focused;2023-04-08T10:16:00
1f9bf9ca-8dcb-426e-90c3-0974fc5dccdb;20722;12953;Berkshire;2023-04-07T17:11:08;analyzing Lempira redundant;2023-04-08T05:13:42
c612c737-0e5f-45c5-8c37-4b9a27df3b2d;68877;89379;RSS pricing;2023-04-07T22:23:53;multi-tasking Mountain;2023-04-07T21:24:32
b2679f81-3fb7-4cb1-93ee-2c31272342a0;8813;50686;core;2023-04-08T03:11:25;Designer Tools multi-byte;2023-04-07T17:00:16
bb12cd4b-9aa7-4935-a3e1-b9db30d3df13;92291;11782;indexing;2023-04-07T17:34:59;ivory withdrawal;2023-04-07T20:50:10
dcd48287-985f-4391-93f0-1bb909999d95;46861;57521;Computer Licensed;2023-04-07T21:21:45;Renminbi Market;2023-04-07T15:21:36
