id;total_price;total_items;status;delivery_method;payment_method;created_by;created_date;last_modified_by;last_modified_date;user_id
75bbbeca-5faa-49a0-b384-ec78767c7f9c;29939;17935;SHIPPED;SHIPPING;PAYMENT_IN_DELIVERY;Outdoors Investment synergize;2023-04-07T14:07:51;Rial Slovenia Cotton;2023-04-08T08:10:11;14754
79fe84a1-0ce2-46d3-a4f4-b9d197474374;45390;9978;VERIFIED;SHIPPING;PAYMENT_IN_DELIVERY;Brand;2023-04-07T19:16:34;state Handcrafted;2023-04-07T23:48:18;87034
726279fb-cad8-402d-869c-8f9d45274aa7;91977;82216;EXHIBITED;SHIPPING;PAYMENT_IN_RETRIEVAL;Rustic Center object-oriented;2023-04-08T03:40:38;initiatives Personal hacking;2023-04-07T15:08:34;16047
c11f4212-5f75-4c43-8b84-94e23c0ffd3a;69634;92559;EXHIBITED;SHIPPING;PAYMENT_IN_RETRIEVAL;bypassing;2023-04-07T23:36:40;quantifying Nebraska solid;2023-04-08T02:23:51;33075
5de94403-701f-4f6a-8ac4-90de4e6ca226;21293;13624;PREPARING;SHIPPING;PAYMENT_IN_DELIVERY;Home Product;2023-04-07T12:30:56;Mountain Senegal;2023-04-08T06:02:38;66362
58cf3db9-54cb-4c87-8d9f-26f820fb533f;16979;69907;SHIPPED;SHIPPING;PAYMENT_IN_DELIVERY;generate Metal Territory;2023-04-08T04:55:52;Savings Refined;2023-04-08T01:38:03;79169
57abe108-0742-4ba4-a76a-8e810d119fe0;78851;68043;SHIPPED;SHIPPING;PAYMENT_IN_RETRIEVAL;teal firewall;2023-04-08T01:17:07;schemas Rustic Kentucky;2023-04-07T19:00:39;43032
d6bd1e81-ce98-4aea-8d1c-5792c50d1fb7;87128;27577;SHIPPED;RETRIEVAL;PAYMENT_IN_RETRIEVAL;Handcrafted Account;2023-04-07T12:24:54;sexy Multi-tiered;2023-04-08T03:30:09;39052
f498a718-b9b9-48e0-a209-5e2cbbff1414;66773;25134;NOT_VERIFIED;RETRIEVAL;PAYMENT_IN_RETRIEVAL;Liaison;2023-04-07T22:00:08;transparent Tuna challenge;2023-04-07T23:39:42;51705
e26aafa0-7d37-4b33-8d6a-8a19319c55f0;92033;97434;EXHIBITED;SHIPPING;PAYMENT_IN_DELIVERY;bypass emulation Engineer;2023-04-07T22:14:17;Technician;2023-04-07T15:51:16;11012
