id;lattitude;longtitude;created_by;created_date;last_modified_by;last_modified_date
83c6f07c-8cab-43a8-9025-6c92c5830c48;37489;89858;Uruguayo Liaison Forward;2023-04-07T15:59:29;explicit Legacy;2023-04-08T03:33:49
b4cc4e69-23cf-4f21-984d-40e923511ed9;14430;22612;Islands;2023-04-07T15:05:59;Sports wireless auxiliary;2023-04-07T13:02:43
c88f9140-0dde-46c3-9657-d894405d295f;54910;964;Plastic Principal;2023-04-07T16:56:36;impactful Pataca turn-key;2023-04-07T17:08:49
ba873dfa-8db9-40d0-887d-c50c762ec0cc;48001;86925;Mauritius;2023-04-07T18:32:10;Concrete Plastic;2023-04-07T11:58:32
cb1d38a6-cbd5-4c2a-a48a-951dd9479175;97702;52844;generation Division;2023-04-08T02:55:52;extensible protocol;2023-04-07T11:47:42
f55a41d4-65d0-4fd5-91fc-796301d42d78;49773;84687;Zloty eyeballs Cameroon;2023-04-08T11:05:24;iterate Hollow Manager;2023-04-08T08:24:49
7389df60-3ceb-413e-824e-adda67b67048;7143;8429;revolutionize;2023-04-07T17:07:35;Rubber Buckinghamshire Michigan;2023-04-08T05:27:21
813df3ed-4f8d-46ab-8705-fdfa8fc03499;37545;18156;Knolls withdrawal Avon;2023-04-08T01:45:13;Tools Officer Chair;2023-04-08T05:57:33
19de764d-3709-46bc-b9c0-57398456e78d;50442;82665;SMS;2023-04-08T10:38:27;Handcrafted Fresh backing;2023-04-07T15:45:32
76bc64fe-aecf-4794-acab-e5a8e83bede3;74362;80037;action-items Nebraska AGP;2023-04-08T09:34:37;wireless;2023-04-07T15:42:09
