id;name;content;img_path;unit_price;created_by;created_date;last_modified_by;last_modified_date
3d946917-0b3b-4e7d-b889-89ba10e1324b;Wooden calculating payment;infomediaries Forks;Dynamic overriding Malaysia;60468;Cheese virtual;2023-04-07T23:44:56;Tasty value-added;2023-04-08T04:19:09
1b37d54f-d370-4d16-86a7-1be28fff8d1f;Fantastic compelling;Missouri;Pants;85650;technologies;2023-04-07T16:21:54;portals Networked;2023-04-08T04:20:03
37de75f6-2556-4325-bced-6dbb956a105d;Dynamic;Guiana Supervisor;olive SDD;7995;productize Persistent Avon;2023-04-07T12:18:17;optical calculate Tasty;2023-04-07T13:58:05
4acf95cd-d042-423e-a102-9a042ad175ac;Direct Automated;partnerships;Square;15664;Fiji Account Man;2023-04-07T15:48:23;Shoes;2023-04-08T11:37:51
8eca157d-741c-4239-a89f-72b0367550b4;methodical deliverables Supervisor;XML Timor-Leste;Gorgeous payment integrate;31879;Manager Jordanian;2023-04-07T20:53:01;user tan;2023-04-07T18:49:49
eac784fa-dffe-4d80-ab49-b0af188cea0a;rich;Polarised;Streets;19090;Practical engineer Generic;2023-04-07T14:49:08;Fish;2023-04-07T22:56:09
715d38ff-94c3-4186-bc26-8abc47972bb3;UIC-Franc Developer withdrawal;Corporate Unbranded;Compatible Savings Human;9402;Fish quantifying client-driven;2023-04-08T02:39:31;Berkshire;2023-04-07T23:54:34
1c0921c0-b45f-4f32-9df8-834c40d7d0e5;Tonga Savings;neutral Springs Naira;driver Montserrat;88318;Wyoming;2023-04-07T21:29:05;EXE Checking;2023-04-07T22:48:11
fa944c7d-d8ce-4eea-a3ef-232c88c432e8;Fresh Account;generate;responsive deposit;11189;Belarussian deposit;2023-04-08T07:47:12;optimize Cambridgeshire Director;2023-04-07T16:01:21
17fa8b55-2d14-4ea5-ba1e-c70fd9598257;Adaptive;parsing info-mediaries;application demand-driven sticky;67299;Tasty Steel;2023-04-07T18:32:24;haptic Open-architected;2023-04-07T22:23:58
