id;qty;total_price;created_by;created_date;last_modified_by;last_modified_date
1568b3d9-a517-44d2-a260-82951cd6bc82;27113;78920;Re-contextualized Intelligent Dollar;2023-04-07T15:10:50;Customer 24/7 Virginia;2023-04-07T12:46:14
81c05aa8-5569-4425-b309-f47c97210e2a;72098;33759;SSL;2023-04-07T11:42:41;District;2023-04-07T15:32:08
64bead9e-bb3f-4c68-8cc7-5a4b2519f03d;38698;57933;portals;2023-04-08T08:49:17;wireless haptic;2023-04-08T11:13:48
d62e148f-be9d-4897-b7b1-c88cc77d6f09;71544;4106;local calculate;2023-04-07T21:15:58;El lavender Granite;2023-04-08T08:25:58
a6850ea4-eb89-4924-a8ec-5bfc2727fb3a;15399;99627;asymmetric;2023-04-08T05:08:12;Tunisia Berkshire index;2023-04-08T05:35:34
9e8a4daf-e98e-41e7-ab5b-7439f9bbc3be;2732;93982;Up-sized Rustic mission-critical;2023-04-08T08:11:28;blockchains Liechtenstein Florida;2023-04-07T13:16:11
395d4629-86f0-4bc8-8c98-3dbccc0ee3c0;91730;1211;payment Officer;2023-04-08T05:39:08;Nevada Account Home;2023-04-08T04:03:09
beeec996-d803-4ce2-9bd2-65cc9b007214;7230;77008;parsing Licensed;2023-04-07T14:27:32;Account;2023-04-08T07:10:35
23798e9e-93d6-4474-adc4-c82f2d329d16;79534;55353;primary;2023-04-08T03:07:34;optical Pound;2023-04-07T11:48:25
cd0138f5-bcda-4f91-bc55-990feb73d706;83230;37178;Car Delaware Table;2023-04-07T12:07:24;driver Roads;2023-04-08T07:57:05
