id;name;sku;description;img_path;unit_price;is_available;created_by;created_date;last_modified_by;last_modified_date
3090a85f-db9c-465e-bc55-cb21cecea3b7;withdrawal THX Division;Metal;models partnerships Infrastructure;transmitting New Bedfordshire;60561;true;Gloves Drive;2023-04-07T19:02:41;Car;2023-04-08T07:37:26
19bf634f-17fc-4f59-a3c0-ded89f310826;Ethiopia;Crossroad CSS;De-engineered;Central Intelligent;88292;true;Cheese Renminbi;2023-04-08T03:35:11;multi-byte Underpass project;2023-04-07T15:50:26
215808cf-17d4-4f3f-8bc5-3675d0e96901;AGP;Brand;Plastic Cambridgeshire;Automotive;53352;true;Associate Chicken;2023-04-07T20:50:53;Mobility Arkansas Kids;2023-04-07T14:25:14
de880f12-43a1-44e5-8d16-ef048ebc7c99;Vista;Sausages Tuna;system Practical;executive;79010;true;Sleek non-volatile Technician;2023-04-07T17:15:07;Borders Pula;2023-04-07T15:50:04
52cdca35-42e4-4504-986a-103837f44d92;portals Berkshire intuitive;Concrete Account Account;Functionality Small adapter;Gloves;97400;true;Buckinghamshire;2023-04-07T12:17:07;Salad;2023-04-08T10:09:39
e4878fed-fa03-435f-a46f-d5887fbe4e6d;Orchestrator Directives payment;SCSI blue;Massachusetts Programmable;Washington;12026;false;Persistent Rustic;2023-04-07T14:11:15;generating;2023-04-07T13:04:25
887bf71e-9845-409b-8e9c-7631d7d6213e;parsing Producer;reinvent open-source Integrated;XML;IB;63437;true;Berkshire Florida;2023-04-08T07:34:08;Concrete blue;2023-04-08T09:57:02
4abccc25-88f8-4fcd-959c-aa4ed6a8cb4d;auxiliary Oman Shirt;Pizza Metal;Account;paradigms Incredible radical;16726;true;up Pizza;2023-04-08T06:50:31;Cambridgeshire San;2023-04-07T21:35:34
1c5f7350-661e-4020-a7f9-98c87002454c;and visualize envisioneer;Borders next incentivize;Madagascar Group HTTP;RSS optical;61049;false;Movies pixel SMTP;2023-04-08T05:52:31;Steel eyeballs Games;2023-04-07T15:30:33
55b833eb-e757-4dee-bcc8-b653b4ee5150;empowering foreground state;revolutionary yellow;well-modulated;system;71368;false;Berkshire payment Cotton;2023-04-07T22:27:14;up;2023-04-07T21:23:34
