id;qty_in_stock;is_gluten_free;created_by;created_date;last_modified_by;last_modified_date
4851644b-9f5f-498a-bcbf-59d8df19aa23;80300;false;USB Account Investment;2023-04-07T21:35:09;Seychelles;2023-04-08T05:25:58
e8c4bac6-975f-4bda-8276-f79a1f12b815;35385;false;Assurance Dynamic Key;2023-04-08T02:05:46;HDD projection;2023-04-07T14:45:47
f37f7270-60eb-4422-a57c-4f391ba0dfcc;65800;true;Tala plug-and-play;2023-04-07T14:52:59;Ergonomic fresh-thinking;2023-04-08T01:36:40
65bd31e2-78ab-4abd-b1ab-7f0a5e192942;63714;true;complexity XML;2023-04-07T22:08:49;data-warehouse;2023-04-07T16:38:51
44a2063f-fd83-4cfe-a4e6-d7cb6f245bc9;29060;true;eyeballs Handcrafted strategic;2023-04-08T08:56:27;Carolina matrix;2023-04-08T06:06:45
d2e3d0ad-823b-4a28-ab55-176ef034c026;64406;true;Buckinghamshire Jersey;2023-04-08T05:45:07;salmon back-end system;2023-04-07T18:28:03
c634d552-c929-4125-9a1a-17ad5c54a186;11504;true;Koruna;2023-04-07T18:50:00;override transmitter Dollar;2023-04-07T14:46:51
a3271db1-e8d8-47b9-8d51-8426ca2329fc;51062;true;Internal;2023-04-07T17:23:43;Frozen Card;2023-04-07T16:07:09
7e24be2b-5a05-445b-b870-f921a6c5c74b;49578;true;envisioneer hack;2023-04-08T08:06:23;generating;2023-04-08T05:58:05
cc7c8f42-6ae5-4937-a099-9dca3649ae66;70073;false;parsing Account;2023-04-07T16:50:38;Kansas;2023-04-08T01:53:11
